job_title,salary_usd,experience_level,employment_type,company_location,company_size,remote_ratio,required_skills,years_experience
AI Research Scientist,90376,SE,CT,China,M,50,"Tableau, PyTorch, Kubernetes, Linux, NLP",9
AI Software Engineer,61895,EN,CT,Canada,M,100,"Deep Learning, AWS, Mathematics, Python, Docker",1
AI Specialist,152626,MI,FL,Switzerland,L,0,"Kubernetes, Deep Learning, Java, Hadoop, NLP",2
NLP Engineer,80215,SE,FL,India,M,50,"Scala, SQL, Linux, Python",7
AI Consultant,54624,EN,PT,France,S,100,"MLOps, Java, Tableau, Python",0
AI Architect,123574,SE,CT,Germany,M,50,"Data Visualization, R, SQL, Linux",7
Principal Data Scientist,79670,MI,FL,United Kingdom,S,0,"R, Docker, MLOps",3
NLP Engineer,70640,EN,FL,France,L,0,"Python, SQL, Computer Vision, Java, Azure",0
Data Analyst,160710,SE,CT,Singapore,L,0,"Hadoop, Git, Mathematics, Python",7
AI Software Engineer,102557,SE,PT,Austria,M,0,"MLOps, GCP, Scala, Azure, Linux",5
Autonomous Systems Engineer,102322,SE,PT,Sweden,M,100,"MLOps, Python, SQL",8
AI Architect,115047,EX,CT,South Korea,S,0,"R, Data Visualization, Python, Azure",15
AI Consultant,124355,SE,CT,France,M,100,"Tableau, Python, TensorFlow",5
Autonomous Systems Engineer,68760,EN,CT,Norway,S,0,"Scala, SQL, Statistics",0
AI Research Scientist,150122,SE,FT,Sweden,M,100,"PyTorch, Python, Data Visualization, GCP",6
AI Product Manager,78846,EN,PT,United Kingdom,L,0,"Linux, Statistics, Deep Learning",0
Principal Data Scientist,59823,EN,FT,India,L,100,"Tableau, NLP, Spark",1
Machine Learning Engineer,181139,EX,CT,France,L,100,"MLOps, PyTorch, Azure",15
Data Engineer,155300,SE,CT,Singapore,M,0,"Git, Hadoop, R, Python, Spark",9
Research Scientist,93851,MI,PT,Netherlands,L,100,"Java, Scala, NLP, Docker, Computer Vision",4
Data Engineer,134197,MI,FT,Norway,M,0,"Deep Learning, AWS, Azure",3
Autonomous Systems Engineer,102550,MI,PT,United States,M,0,"Tableau, Spark, NLP, TensorFlow, PyTorch",2
ML Ops Engineer,99382,SE,CT,Germany,S,0,"Hadoop, Git, Tableau",7
AI Product Manager,52167,MI,FT,Austria,M,100,"Git, Hadoop, Docker",4
ML Ops Engineer,53923,MI,FT,China,S,0,"AWS, Azure, Git, SQL, Computer Vision",2
Robotics Engineer,109779,SE,PT,Israel,L,100,"Linux, Git, Tableau, Kubernetes, Data Visualization",6
ML Ops Engineer,80979,MI,CT,Australia,S,50,"Hadoop, Linux, Git, Scala",2
Data Analyst,52997,MI,PT,Austria,M,0,"Mathematics, Kubernetes, TensorFlow, Tableau, PyTorch",2
Head of AI,42819,EN,CT,Ireland,M,50,"Python, Scala, NLP, Mathematics, Git",0
ML Ops Engineer,82083,MI,CT,Israel,L,100,"Azure, Python, Computer Vision, Kubernetes, TensorFlow",2
Head of AI,67488,EN,FT,Netherlands,M,100,"Deep Learning, GCP, AWS, Linux, Tableau",1
Research Scientist,68624,EN,FT,Denmark,M,0,"Azure, Python, Spark",1
Robotics Engineer,146852,SE,FT,Switzerland,S,50,"NLP, Scala, Python",7
ML Ops Engineer,178183,EX,FL,Finland,M,0,"Tableau, Azure, GCP, Linux, Python",16
Deep Learning Engineer,150864,SE,FL,Sweden,L,0,"R, GCP, MLOps, Linux",8
Head of AI,126942,EX,CT,Finland,L,0,"Git, Hadoop, Data Visualization",10
AI Architect,53752,MI,PT,Japan,M,100,"Data Visualization, Tableau, AWS, Mathematics, Python",2
Robotics Engineer,111381,EX,CT,Israel,S,0,"Linux, PyTorch, SQL, Statistics",18
AI Specialist,41430,EN,PT,China,M,50,"Tableau, Docker, GCP",1
Data Engineer,166080,EX,FL,Netherlands,L,100,"Computer Vision, Azure, Tableau",15
Data Scientist,96956,MI,FT,United States,M,0,"Data Visualization, Azure, Spark, MLOps",2
AI Architect,196954,SE,FL,United States,L,50,"Java, Mathematics, SQL",8
AI Specialist,56745,EN,PT,Finland,L,100,"Spark, Mathematics, GCP",1
Machine Learning Researcher,113455,SE,FT,Singapore,M,50,"Hadoop, Docker, Python, Azure",8
ML Ops Engineer,158808,SE,PT,Netherlands,M,50,"Docker, R, Linux",5
AI Research Scientist,174663,SE,CT,United States,M,50,"Data Visualization, Statistics, R",7
AI Research Scientist,46753,EN,CT,India,S,50,"Scala, Java, Tableau",1
AI Software Engineer,69020,MI,FL,China,L,0,"Java, Azure, GCP",4
AI Specialist,288815,EX,PT,Switzerland,S,0,"Deep Learning, Git, Data Visualization, Linux, Java",12
AI Consultant,124871,EX,FL,Austria,M,50,"Hadoop, AWS, Linux, Docker, Statistics",19
AI Architect,70391,MI,FT,Germany,S,0,"Deep Learning, SQL, Mathematics",4
